GeneID	GSM8290288	GSM8290289	GSM8290290	GSM8290291	GSM8290292	GSM8290293	GSM8290294	GSM8290295	GSM8290296	GSM8290297
100287102	33	13	52	15	10	5	17	16	3	4
653635	489	570	1209	707	648	305	1002	337	271	349
102466751	1	7	13	21	8	3	37	10	2	8
107985730	0	0	1	0	0	0	0	0	0	0
100302278	0	0	0	1	0	0	0	0	0	0
645520	3	5	1	14	1	0	14	0	0	0
79501	0	0	0	0	0	0	0	0	0	0
100996442	9	8	15	15	10	13	13	8	8	14
729737	492	339	816	1318	671	651	1238	487	466	1557
102725121	26	5	7	4	2	1	7	9	1	1
102723897	429	664	692	726	597	270	970	286	333	424
102465909	2	5	5	11	4	1	13	2	3	3
107985721	0	1	1	2	2	0	1	0	0	4
112268260	9	7	6	11	13	8	7	9	8	27
729759	0	0	0	0	0	0	0	0	0	0
100132287	168	144	491	325	316	169	429	181	118	428
105378947	0	0	0	1	0	0	0	0	0	1
101928626	1	0	0	0	0	1	0	0	0	0
113219467	17118	32344	18498	33806	17441	19909	40976	37757	18713	15561
81399	1	0	1	1	1	1	0	0	0	5
100133331	123	139	457	255	246	116	333	143	89	331
107984841	5	4	5	6	9	16	33	12	10	25
107984847	2	4	6	8	8	26	47	20	18	20
107984849	1	1	2	6	3	2	5	5	2	5
100288069	3	3	4	4	8	4	5	4	3	8
105378580	5	4	9	12	8	3	5	12	8	7
400728	1	11	1	8	15	17	26	78	59	16
79854	9	6	34	28	22	15	16	21	23	20
643837	255	305	259	402	247	279	693	534	353	226
107984850	24	0	11	3	1	7	5	11	4	3
284593	7	1	1	1	1	1	5	3	1	3
284600	4	15	24	1	59	96	213	107	119	20
100130417	15	33	17	28	399	22	19	28	16	68
107985728	0	4	0	5	50	7	2	4	5	13
148398	153	225	112	177	834	132	166	283	210	317
26155	469	499	336	580	1036	521	647	657	656	593
339451	29	132	92	155	263	82	187	111	78	182
84069	27	21	6	15	57	15	33	43	67	70
84808	39	8	4	6	16	5	7	19	22	21
57801	46	183	14	162	542	140	146	309	229	248
9636	294	793	212	249	510	728	793	1310	1569	834
375790	234	728	146	382	1332	691	470	1354	837	1734
100288175	1	3	1	5	1	2	10	3	8	5
112267874	0	0	0	4	1	1	1	1	5	3
105378948	1	5	5	7	2	5	13	3	8	4
401934	0	0	0	0	0	0	0	0	1	0
54991	69	146	103	189	270	114	214	126	131	185
254099	0	0	0	2	0	0	0	0	0	0
406984	0	0	0	0	0	0	0	0	0	0
406983	0	0	0	0	0	0	0	0	0	0
554210	0	0	0	0	0	0	0	0	0	0
100506376	1	1	0	0	1	1	0	1	0	0
254173	1	16	0	1	5	3	1	2	2	1
8784	26	49	20	39	79	216	226	142	395	151
7293	43	84	20	57	94	264	325	229	529	170
51150	1454	2470	895	1791	3829	2708	2159	3273	3905	3729
126792	168	274	103	189	384	250	307	409	363	477
388581	6	8	6	21	19	2	12	12	2	9
118424	878	814	659	833	1044	704	1109	874	993	797
101928895	5	28	11	8	34	9	15	4	11	16
6339	22	64	60	65	150	36	45	26	16	62
116983	291	489	704	608	1078	317	628	412	290	657
102465434	0	0	0	0	1	0	1	1	0	0
109623456	0	0	0	1	1	0	0	0	0	2
126789	152	171	129	168	248	132	211	200	217	185
54973	595	708	640	901	1270	660	954	748	761	806
102465435	1	3	0	4	3	1	6	2	0	2
80772	353	335	154	304	487	292	277	416	398	294
83756	48	144	27	56	64	84	65	78	49	22
