GeneID	GSM8428862	GSM8428863
100287102	23	23
653635	1394	1065
102466751	41	22
107985730	0	0
100302278	0	0
645520	1	2
79501	0	0
100996442	116	94
729737	24	21
102725121	2	1
102723897	1136	939
102465909	22	19
107985721	1	1
112268260	60	52
729759	0	0
100132287	126	117
105378947	2	1
101928626	1	0
113219467	837	1138
81399	9	8
100133331	241	199
107984841	75	61
107984847	110	64
107984849	16	7
100288069	114	70
105378580	23	11
400728	37	32
79854	92	74
643837	1074	763
107984850	0	1
284593	2	4
284600	10	13
100130417	1	3
107985728	0	1
148398	480	375
26155	9406	6067
339451	1081	940
84069	355	234
84808	68	54
57801	703	517
9636	26202	15594
375790	16402	11061
100288175	434	379
112267874	107	93
105378948	333	303
401934	5	9
54991	475	407
254099	0	0
406984	0	0
406983	0	0
554210	1	0
100506376	1	1
254173	1	2
8784	5	1
7293	5	5
51150	14832	10293
126792	1684	1319
388581	28	16
118424	4448	3274
101928895	110	99
6339	249	253
116983	1677	1320
102465434	1	0
109623456	2	4
126789	1874	1445
54973	4699	3968
102465435	8	7
80772	1697	1262
83756	57	61
1855	3886	3099
102466740	4	2
54587	2857	2724
54998	8187	5709
81669	11662	10125
148413	1659	1341
55052	3833	3022
107984868	3	1
441869	24	15
105378585	2	3
643965	1	1
102724312	5	15
107985729	5	5
64856	748	675
219293	138	83
83858	2359	1702
55210	5885	4052
339453	36	42
29101	4669	4364
643988	548	459
105378586	24	18
142678	1311	1211
8510	279	242
984	8429	6790
728661	4783	4471
8511	66	46
728642	5410	4298
9906	2345	2431
112268218	383	388
65220	3564	2799
2782	33421	26970
105378949	59	47
163688	29	34
339456	358	407
85452	72	76
107984872	21	21
105378589	4	3
2563	66	75
105378590	0	2
105378591	0	0
5590	4712	3713
100506504	125	93
199990	1640	1384
112268219	250	197
105378593	1	1
6497	2423	2157
79906	337	265
100129534	61	51
11079	10262	8945
5192	1282	1117
9651	72	59
55229	2062	1450
388585	13	13
115110	31	24
8764	429	383
100996583	3	2
127281	1153	888
79258	163	146
105378597	1	1
100287898	4	4
105378603	0	0
105378602	0	0
105378601	0	0
112268220	0	0
107985732	0	0
105378600	0	0
105378598	0	2
107984904	0	0
105378599	0	1
140625	0	0
440556	1	0
